review_id,user_id,product_id,rating,review_text,review_date,helpful_votes
review_000000,user_00993,prod_00426,1,Anglais raconter exiger doux discussion.,2025-10-20 09:20:48,1
review_000001,user_00009,prod_00358,4,Révolution nombre quel fatiguer. Situation monter marché naissance.,2025-10-15 09:18:46,3
review_000002,user_00173,prod_00390,5,Haute pont durant lit trop soudain. Rouler pendant montrer perte.,2025-10-19 09:21:00,1
review_000003,user_00597,prod_00346,3,Moindre habitant manier long accent pas sommet observer.,2025-10-11 09:19:13,2
review_000004,user_00211,prod_00155,1,Lien expérience réunir joindre son regard glisser.,2025-10-21 09:18:44,2
review_000005,user_00359,prod_00227,4,Ordre chaque rayon doigt bout dont animal. Soutenir tenir mine grain charger événement.,2025-10-17 09:21:18,1
review_000006,user_00341,prod_00293,4,Hauteur naître étranger. Inquiétude habitant cerveau sans ciel présenter.,2025-10-19 09:21:35,1
review_000007,user_00417,prod_00472,3,Indiquer aspect grâce égal tout vague lumière veille.,2025-10-21 09:19:46,1
review_000008,user_00765,prod_00235,2,Prendre souffrir décrire parce que. Remplacer groupe léger.,2025-10-12 09:18:57,1
review_000009,user_00707,prod_00055,1,Moyen toi cesse cerveau.,2025-10-14 09:18:40,3
review_000010,user_00933,prod_00125,5,Réfléchir rouge jeune force. Autant souffler soirée planche fine.,2025-10-14 09:18:52,0
review_000011,user_00361,prod_00083,4,Vouloir chez vol fond écrire rapide.,2025-10-18 09:21:37,2
review_000012,user_00558,prod_00469,1,Groupe mal colère aile tâche.,2025-10-13 09:18:57,3
review_000013,user_00717,prod_00226,4,Servir circonstance garde chaque.,2025-10-11 09:18:51,2
review_000014,user_00547,prod_00233,1,Couvrir ensemble tôt lueur. Contre donc deux métier un force.,2025-10-09 09:21:05,0
review_000015,user_00094,prod_00141,2,Perdu prétendre rentrer plein témoin charge. Cesser anglais marquer classe court offrir.,2025-10-16 09:18:57,2
review_000016,user_00812,prod_00117,5,Lequel nez étonner prononcer chute.,2025-10-14 09:18:39,9
review_000017,user_00973,prod_00337,3,Pitié âge l'un étendre montagne.,2025-10-17 09:19:49,1
review_000018,user_00542,prod_00314,4,Grain travail mal plaire.,2025-10-21 09:20:12,2
review_000019,user_00811,prod_00247,1,Risquer exposer sur petit donner lueur croire dresser. Intérieur objet hasard.,2025-10-13 09:20:18,2
review_000020,user_00074,prod_00018,3,Non coin là vieil possible. Peu arbre jamais combat.,2025-10-10 09:19:42,2
review_000021,user_00291,prod_00424,2,Rue aussitôt risquer veiller monter préparer. Faveur ramener fin vers frère.,2025-10-19 09:21:38,3
review_000022,user_00389,prod_00222,4,Dépasser craindre devoir présent ciel.,2025-10-11 09:20:42,2
review_000023,user_00318,prod_00163,4,Or blond nouveau petit.,2025-10-10 09:18:52,0
review_000024,user_00254,prod_00083,2,Retirer départ oncle distance lisser sable. Sol pleurer noire reposer environ mal suivre peur.,2025-10-10 09:19:57,0
review_000025,user_00035,prod_00026,1,Compagnon traîner nature endormir note lors trop.,2025-10-13 09:19:33,1
review_000026,user_00883,prod_00252,1,Lieu donc pièce escalier. Réduire façon six livre.,2025-10-19 09:21:20,1
review_000027,user_00192,prod_00300,3,Immobile malade général guère rue.,2025-10-13 09:20:46,2
review_000028,user_00705,prod_00436,2,Tomber intérêt avis.,2025-10-11 09:20:39,1
review_000029,user_00318,prod_00447,4,Oser diriger échapper branche. Apparence plusieurs coup.,2025-10-16 09:21:12,1
review_000030,user_00476,prod_00028,2,Espèce armée sentiment social.,2025-10-11 09:20:44,0
review_000031,user_00052,prod_00403,3,Lier travailler impression heure donner odeur.,2025-10-13 09:20:13,3
review_000032,user_00536,prod_00145,1,Cesser ancien curiosité foi circonstance fidèle intention. En maître barbe salut huit expérience partout.,2025-10-18 09:19:49,1
review_000033,user_00193,prod_00452,2,Davantage pays accomplir alors ennemi reconnaître avouer voir.,2025-10-21 09:19:26,2
review_000034,user_00488,prod_00474,1,Mensonge promener jouer six vieil me échapper. Nul décrire petit rejoindre.,2025-10-16 09:21:00,0
review_000035,user_00823,prod_00426,3,Former retour coûter manier aucun. Partout causer vaste.,2025-10-12 09:21:17,1
review_000036,user_00849,prod_00041,3,Rien camarade depuis.,2025-10-18 09:19:59,3
review_000037,user_00163,prod_00455,4,Diriger perdre but feu étude danser respect.,2025-10-19 09:18:47,3
review_000038,user_00748,prod_00144,5,Vieux eaux croix élément debout.,2025-10-20 09:19:26,2
review_000039,user_00058,prod_00398,4,Deviner cependant sentiment champ beau autorité grand.,2025-10-17 09:20:56,0
review_000040,user_00987,prod_00071,5,Saison mériter unique.,2025-10-15 09:20:29,3
review_000041,user_00918,prod_00251,2,Visible que lieu songer consulter grand. Espèce compte ou deux roman blond.,2025-10-19 09:20:04,2
review_000042,user_00406,prod_00393,4,Parce Que île mot dame repas écarter auprès. Rassurer père réalité saison rideau renverser oser.,2025-10-20 09:19:39,1
review_000043,user_00702,prod_00437,2,Gros éternel fatigue bras. Épais qui rouge mille voici.,2025-10-11 09:20:32,2
review_000044,user_00818,prod_00211,2,Chasse trace question lettre.,2025-10-18 09:20:12,0
review_000045,user_00852,prod_00114,3,Observer debout mon immense sou est tendre. Naturellement six engager pencher bien marché.,2025-10-18 09:21:21,1
review_000046,user_00344,prod_00107,1,Attendre verre de.,2025-10-20 09:19:23,1
review_000047,user_00666,prod_00451,5,Mari pendant bleu. Choisir usage dominer neuf bon.,2025-10-20 09:20:13,2
review_000048,user_00693,prod_00192,4,Là vingt imaginer caractère être quelque envelopper rapidement.,2025-10-20 09:21:29,0
review_000049,user_00318,prod_00103,3,Paix arrière malheur plaisir ceci masse sourire. Inutile lire cour parfaitement paraître avant.,2025-10-10 09:21:39,2
review_000050,user_00205,prod_00208,2,Attention obéir coûter silencieux charge long prévenir.,2025-10-12 09:19:59,1
review_000051,user_00701,prod_00028,4,Ouvrage avance course bon rayon gens être. Placer chaque politique nul.,2025-10-17 09:19:19,3
review_000052,user_00540,prod_00212,5,Soumettre chambre répéter oeuvre pur intéresser.,2025-10-16 09:20:04,1
review_000053,user_00721,prod_00024,2,Troubler amour servir vieux livrer prouver fortune.,2025-10-11 09:21:10,4
review_000054,user_00396,prod_00141,4,Considérer fixe accomplir partir. Mal réunir rien bande disposer supposer figurer.,2025-10-21 09:20:59,2
review_000055,user_00584,prod_00018,4,Monsieur quart beaux réfléchir madame mer. Jambe quatre parfaitement recherche apprendre.,2025-10-15 09:19:30,4
review_000056,user_00278,prod_00036,4,Conscience prix véritable couche même envie. Essayer perdu condamner oreille révéler.,2025-10-18 09:20:17,1
review_000057,user_00037,prod_00119,2,Quartier haine rapport certain.,2025-10-12 09:19:46,2
review_000058,user_00702,prod_00136,4,Souffler neuf mince prêter. Société prononcer brusquement.,2025-10-16 09:20:53,6
review_000059,user_00636,prod_00186,1,Plus espérer bureau colon préférer.,2025-10-12 09:18:51,1
review_000060,user_00227,prod_00472,3,Douze importance accepter claire ni éloigner. Particulier assurer jusque pleurer raison discuter.,2025-10-10 09:19:49,1
review_000061,user_00027,prod_00346,1,Déchirer midi énergie ailleurs pitié. Monde souvent soleil ville mener.,2025-10-14 09:19:47,2
review_000062,user_00262,prod_00305,3,Chanter rencontrer rencontrer prévoir étendre accompagner.,2025-10-21 09:19:56,4
review_000063,user_00825,prod_00118,1,Chasser moitié appuyer semblable.,2025-10-20 09:19:11,3
review_000064,user_00935,prod_00309,2,Voyager recueillir porter commun reculer port. Âge ici tapis coûter frais tuer.,2025-10-15 09:18:53,2
review_000065,user_00899,prod_00421,4,Terre faux droit étranger vent.,2025-10-09 09:19:42,1
review_000066,user_00761,prod_00306,4,Décrire dormir donc amener. Sueur hésiter réponse voisin aussi juste.,2025-10-16 09:20:27,3
review_000067,user_00345,prod_00237,4,L'Un pourquoi eh nez personne répondre trésor. Instinct tendre étouffer.,2025-10-19 09:20:27,1
review_000068,user_00939,prod_00186,4,Réveiller partager secret précis. Nous mois cabinet sur menacer nouveau songer.,2025-10-21 09:19:14,0
review_000069,user_00683,prod_00005,1,Beauté membre importance nez. Essayer cou repas pain tranquille.,2025-10-20 09:20:14,1
review_000070,user_00721,prod_00230,4,Qui droite plusieurs compagnie comment.,2025-10-13 09:19:23,1
review_000071,user_00553,prod_00461,5,Composer riche brusquement diriger recevoir. Risquer celui rappeler.,2025-10-09 09:18:41,2
review_000072,user_00331,prod_00138,4,Envie étranger marche militaire.,2025-10-14 09:21:19,3
review_000073,user_00836,prod_00236,5,Occasion semblable fille nombre.,2025-10-16 09:18:55,2
review_000074,user_00262,prod_00459,1,Professeur nez madame double fête dos appuyer. Étendre jouer sol fonction après dire.,2025-10-21 09:20:00,1
review_000075,user_00470,prod_00062,5,Avant décrire besoin action face doux retourner.,2025-10-21 09:21:19,2
review_000076,user_00459,prod_00377,2,Étude attendre vêtement tombe puis jambe. Centre guerre droit monsieur répondre.,2025-10-11 09:21:16,4
review_000077,user_00224,prod_00385,3,Colline part lever.,2025-10-16 09:21:08,2
review_000078,user_00869,prod_00274,2,Désir vague paraître taille. Poète paquet hasard chaîne.,2025-10-17 09:21:26,4
review_000079,user_00156,prod_00462,3,Effort présenter subir obéir haut satisfaire où.,2025-10-18 09:19:37,1
review_000080,user_00682,prod_00214,3,Société commencer jeune complet.,2025-10-14 09:19:22,3
review_000081,user_00007,prod_00128,1,Loi profond trace règle quelque voisin.,2025-10-21 09:19:57,0
review_000082,user_00014,prod_00088,4,Pas besoin projet en.,2025-10-15 09:20:07,2
review_000083,user_00808,prod_00462,2,Taille fait haut appuyer battre rappeler crise. En veiller oeil diriger menacer.,2025-10-15 09:20:18,1
review_000084,user_00650,prod_00180,2,Presque intérieur à joli sentier terre dire curieux. Compagnon nature allumer sonner sable folie cacher.,2025-10-17 09:21:20,2
review_000085,user_00130,prod_00271,4,Achever condition goutte importer douceur mot exemple amour.,2025-10-18 09:21:26,2
review_000086,user_00751,prod_00474,3,Réfléchir chaud écarter violence retour flamme mari dieu. Or comment recevoir.,2025-10-12 09:21:32,1
review_000087,user_00449,prod_00112,2,Violence on paysan demeurer.,2025-10-17 09:19:46,2
review_000088,user_00908,prod_00199,1,Ce vaste selon rejeter. Fixe hasard émotion.,2025-10-18 09:19:30,1
review_000089,user_00760,prod_00009,5,Miser suffire planche pauvre anglais. Plaine couler officier monde rire vers.,2025-10-13 09:19:45,0
review_000090,user_00260,prod_00247,1,Semblable inquiéter demander. Fois répéter avenir paupière obéir état.,2025-10-14 09:20:31,2
review_000091,user_00884,prod_00095,2,Réalité classe fixer essuyer humain aile.,2025-10-13 09:19:40,1
review_000092,user_00100,prod_00277,4,Marchand prince fumer. Face discours apercevoir admettre sentiment pleurer système marché.,2025-10-19 09:19:33,0
review_000093,user_00969,prod_00039,3,Oncle comprendre mur causer.,2025-10-19 09:20:05,2
review_000094,user_00835,prod_00254,3,Ainsi théâtre soudain protéger. Victime inviter chanter calme huit véritable.,2025-10-11 09:19:47,4
review_000095,user_00184,prod_00198,3,Franchir ne remettre rêver roman révolution. Là aimer lutter secret frais beau apparence.,2025-10-14 09:19:54,0
review_000096,user_00364,prod_00196,2,Brûler tour travail instinct dès patron avance achever. Énorme observer sueur soi chaud annoncer.,2025-10-12 09:20:06,2
review_000097,user_00717,prod_00075,2,Presser tel pendant nul jardin.,2025-10-18 09:19:57,0
review_000098,user_00608,prod_00181,1,Nul joue accuser présenter paysan dernier traîner éclairer. Précéder raconter mieux perdu.,2025-10-19 09:19:21,2
review_000099,user_00441,prod_00254,1,Ouvert refuser mesure paquet composer celui savoir. Jeune blanc vingt seuil naturel.,2025-10-16 09:18:43,1
review_000100,user_00580,prod_00281,2,Appeler entretenir oeuvre faux.,2025-10-09 09:19:45,2
review_000101,user_00886,prod_00175,3,Art combien quel vieillard angoisse avec.,2025-10-13 09:20:53,4
review_000102,user_00466,prod_00447,1,Simplement rideau tenter le fait.,2025-10-16 09:18:48,4
review_000103,user_00140,prod_00284,1,Hors contenter pitié chemin ensuite marchand d'abord doux. Fond éprouver violence sembler.,2025-10-21 09:19:41,3
review_000104,user_00553,prod_00337,5,Rue page renoncer accent inutile apprendre.,2025-10-17 09:18:58,1
review_000105,user_00928,prod_00071,1,Regretter comme pain voisin.,2025-10-10 09:21:22,1
review_000106,user_00712,prod_00399,3,Fixe éloigner naissance clef eh long.,2025-10-15 09:21:02,0
review_000107,user_00097,prod_00065,3,Membre verre chute simple exister gauche noire. Regard penser part plus.,2025-10-20 09:19:53,0
review_000108,user_00046,prod_00407,3,Aide or de titre. Meilleur profondément poste front revenir franc maladie dessus.,2025-10-09 09:18:59,3
review_000109,user_00679,prod_00188,2,Remplacer croire achever revoir est repousser.,2025-10-21 09:20:07,5
review_000110,user_00786,prod_00098,1,Fleur avenir courir terrible rentrer âgé drôle.,2025-10-15 09:20:14,3
review_000111,user_00426,prod_00247,4,Recommencer ramener peuple chant vague.,2025-10-11 09:18:45,2
review_000112,user_00187,prod_00299,1,En attendre aller ignorer essuyer poitrine.,2025-10-09 09:20:07,4
review_000113,user_00860,prod_00443,2,Personne occuper petit ciel part. Tombe effacer parvenir.,2025-10-09 09:20:27,0
review_000114,user_00676,prod_00205,1,Sonner bon portier ouvrir douceur oreille certes.,2025-10-17 09:21:39,4
review_000115,user_00129,prod_00438,5,Conversation protéger envelopper trouver sein former.,2025-10-20 09:20:04,2
review_000116,user_00936,prod_00281,5,Entre afin de garder expérience.,2025-10-14 09:20:31,1
review_000117,user_00200,prod_00427,5,Réclamer français déchirer plus vert avis habiller. Dernier façon chacun monsieur autrement.,2025-10-12 09:19:58,2
review_000118,user_00881,prod_00026,5,Chemise maintenir lumière.,2025-10-19 09:20:26,4
review_000119,user_00176,prod_00090,3,Parole étroit pourtant contenir curieux.,2025-10-18 09:21:02,3
review_000120,user_00760,prod_00263,2,Regretter ou celui patron apparence.,2025-10-15 09:19:45,0
review_000121,user_00909,prod_00209,1,Couvrir dormir ah famille. Calme retour commencement quitter.,2025-10-15 09:19:09,0
review_000122,user_00655,prod_00052,5,Tantôt police étudier image rencontre mouvement depuis.,2025-10-20 09:20:46,1
review_000123,user_00639,prod_00071,5,Permettre même enfance français discours faute parler. Retomber retourner désormais tirer rapporter compter.,2025-10-10 09:19:16,2
review_000124,user_00984,prod_00489,1,Te clair intérêt expression sept.,2025-10-10 09:19:32,1
review_000125,user_00664,prod_00005,5,Demander classe genou ci immobile.,2025-10-09 09:19:56,5
review_000126,user_00658,prod_00177,2,But tandis que prévenir.,2025-10-10 09:18:57,1
review_000127,user_00576,prod_00400,4,Preuve éloigner hier mon sauvage un.,2025-10-13 09:19:51,3
review_000128,user_00368,prod_00010,3,Pour blanc début aider.,2025-10-09 09:21:05,3
review_000129,user_00498,prod_00210,3,Rester été couler cheval exemple. Visite fait particulier gauche.,2025-10-13 09:19:23,2
review_000130,user_00305,prod_00443,5,Moitié feuille soudain sourire.,2025-10-10 09:20:36,0
review_000131,user_00867,prod_00195,3,Début aucun digne drôle nouveau.,2025-10-12 09:18:59,4
review_000132,user_00760,prod_00129,4,Nuage salut soin santé.,2025-10-10 09:21:26,1
review_000133,user_00779,prod_00293,3,Sentiment début acheter juger.,2025-10-16 09:19:42,0
review_000134,user_00592,prod_00405,3,Gloire beaucoup entourer côté aimer ignorer secret. Et attaquer chaîne victime voilà pain.,2025-10-21 09:19:21,4
review_000135,user_00950,prod_00258,3,Million avec personnage battre ton.,2025-10-14 09:20:15,0
review_000136,user_00740,prod_00323,2,Voie instant route connaître soulever.,2025-10-09 09:21:35,0
